Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Python: Design Patterns,"Design patterns encourage programming efficiency and code reuse. This course is a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct.",Course,2018-09-30 15:09 UTC,N/A,false,N/A,
Android App Development: Design Patterns for Mobile Architecture,"Developers need to know how to manage an app's complexity. In this course, learn how to simplify your apps by applying simple architectural design patterns to your mobile code base. Discover how these design patterns can help you reduce bugs and maximize your development time by making your code easier to read and test. Jon Bott covers different architectural models such as MVC, MVP, and VIPER. In addition, he walks through the conversion process from MVC to a layered architecture, covering dependency injection, the coordinator pattern, and data binding.",Course,2019-08-16 12:16 UTC,N/A,false,N/A,
Excel for Accountants,"Become a better accountant, bookkeeper, or financial analyst with Microsoft Excel. Excel can be used for profit-and-loss (P&L) reporting, forecasting sales, business valuation, quickly analyzing data from programs like QuickBooks, and more. This course shows you how to perform key accounting tasks in Excel, including small business and corporate record-keeping, and importing and exporting data from QuickBooks to Excel. Professor Michael McDonald shows how to record transactions in a general ledger, categorize expenses for taxes, track business performance, use key financial statements, and do a business valuation. The course is for working professionals and business students alike, with short, focused lessons to give you maximum learning in the minimum amount of time.",Course,2019-07-09 03:55 UTC,N/A,false,N/A,
SQL for Exploratory Data Analysis Essential Training,"Learn how to use SQL to understand the characteristics of data sets destined for data science and machine learning. The course begins with an introduction to exploratory data analysis and how it differs from hypothesis-driven statistical analysis. Instructor Dan Sullivan explains how SQL queries and statistical calculations, and visualization tools like Excel and R, can help you verify data quality and avoid incorrect assumptions. Next, find out how to perform data-quality checks, reveal and recover missing values, and check business logic. Discover how to use box plots to understand non-normal distribution of data and use histograms to understand the frequency of data values in particular attributes. Dan also explains how to use the chi square test to understand dependencies and measure correlations between attributes. The course concludes with a collection of tips and best practices for exploratory data analysis.",Course,2020-02-15 04:58 UTC,N/A,false,N/A,
Common Meeting Problems,"Are your meetings ineffective? Are you finding that you run out of time without completing the agenda? Do attendees seem dissatisfied or bored? Trainer Chris Croft outlines the top 10 meeting problems and explains how to manage each one. He covers meetings that aren't necessary; noises and other distractions that throw meetings off track; attendees showing up late; disruptive behavior; lack of focus; meetings that take too long; lack of progress; and lack of participation. Plus, get tips for eliminating some of the most common technology issues that occur during virtual meetings.",Course,2019-10-30 15:03 UTC,N/A,false,N/A,
The Step-by-Step Guide to Building your Thought Leadership on LinkedIn,"Generating business, reaching new clients, or acting as a spokesperson for your company or product—there are many benefits to building your thought leadership on LinkedIn. Whether you are a seasoned professional or just starting out, Alexandra Galviz (""Authentic Alex”) can help. Alex is a Linked Top Voice for the UK and the cofounder of #LinkedInLocal. In this course, she offers a step-by-step guide to using LinkedIn to reach audiences and establish your expertise. She explains how to craft an authentic voice, grow your audience of brand ambassadors, and create courageous content. Each chapter is filled with examples of her favorite thought leaders in the UK, from entrepreneurs to business leaders. By the end, you’ll be sharing your stories in an authentic and relatable way and creating a deeper connection with your network.",Course,2020-10-06 05:52 UTC,N/A,false,N/A,
Learning Hadoop (2015),"Hadoop is indispensible when it comes to processing big data—as necessary to understanding your information as servers are to storing it. This course is your introduction to Hadoop, its file system (HDFS), its processing engine (MapReduce), and its many libraries and programming tools. Developer and big-data consultant Lynn Langit shows how to set up a Hadoop development environment, run and optimize MapReduce jobs, code basic queries with Hive and Pig, and build workflows to schedule jobs. Plus, get a sneak peek at some up-and-coming libraries like Impala and the lightning-fast Spark.",Course,2018-09-23 15:21 UTC,N/A,true,N/A,
Human Resources Foundations,"Whatever business you're in, there's a fundamental need to support the people that work there. That's where human resources comes in. In this course, HR expert Wayne Cascio provides a comprehensive guide to the field of human resources. Wayne ensures new HR professionals are well versed in their core responsibilities: from attracting, interviewing, and hiring candidates to establishing a pay strategy and creating systems for internal training and development. Wayne also discusses the role that HR plays in career development, performance management, and managing an international workforce.",Course,2020-02-15 05:00 UTC,N/A,false,N/A,
Data Visualization: A Lesson and Listen Series,"Follow along with expert Bill Shander in this series exploring key themes in data visualization, data storytelling, and information design. Each episode is broken into two segments: a short lesson and a listening session where Bill interviews data storytelling and visualization experts about the episode theme. These conversations reveal the creative process, explore techniques and technologies used by working professionals, and illuminate some of the common challenges they face. This series is perfect for anyone interested in how information is presented to the mass market, including professionals in all levels of analytics, data science, and communications.</br></br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2018-10-23 16:22 UTC,N/A,false,N/A,
Java for Data Scientists Essential Training,"Learn how to use Java for two components of data science—data engineering and data analysis. Instead of poring over every facet of Java, instructor Charles Kelly focuses on a selection of valuable topics that will help you learn how to leverage Java in your data science career. This course revolves around the ingest, model, query, analyze, and visualize (IMQAV) model, which is a framework for data science workflows. Charles goes over test-driven development and object-oriented design. Using the free community edition of IntelliJ from JetBrains, he presents Java examples including Java classes, methods, operations, and libraries. Plus, Charles shares how to apply the skills that you learned in the course to create magic squares and sudoku puzzles.",Course,2019-01-17 10:31 UTC,N/A,false,N/A,
Learning R (2013),"Join author Barton Poulson as he introduces the R statistical processing language, including how to install R on your computer, read data from SPSS and spreadsheets, and use packages for advanced R functions.<br><br>

The course continues with examples on how to create charts and plots, check statistical assumptions and the reliability of your data, look for data outliers, and use other data analysis tools. Finally, learn how to get charts and tables out of R and share your results with presentations and web pages.",Course,2018-10-03 03:18 UTC,N/A,false,N/A,
Inclusive Instructional Design,"Does the training you create really reflect your audience? Have you considered someone’s geographical location, learning preference, or accommodation needs? These types of questions should be core to the instructional design process. In this course, learn how to make sure your training is inclusive by considering everything from your graphics to the subject matter experts (SMEs) you select. Instructor Samantha Calamari illuminates ways in which individuals with different learning styles, abilities, and cultural backgrounds can be left out of traditional learning experiences. Throughout the course, she shares techniques and design methods that can help your training resonate with these—and all potential—audiences.",Course,2019-06-20 05:21 UTC,N/A,false,N/A,
Python: Programming Efficiently (2017),"Cut down on your development time by learning how to write elegant code in an efficient manner, specifically in Python—the popular and pragmatic object-oriented language. Michele Vallisneri explains how to make your Python code more expressive and concise, and leverage the most powerful features of the language. He shines a spotlight on some of the strongest third-party packages you can take advantage of, discusses object-oriented and functional programming, and shares strategies for improving the performance of your code. Michele illustrates these concepts with many intriguing examples, showing how to make 3D images and videos using photographs taken by a NASA rover on Mars, map the rover's progress through Martian topography, draw and paint fractals, and more.",Course,2019-03-22 08:34 UTC,N/A,false,N/A,
Power BI Essential Training (2019),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile—explaining how to use it to view and share your data—and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2019-03-05 15:48 UTC,N/A,false,N/A,
Learning the Python 3 Standard Library,"Python libraries can cut your development time and reduce your frustration with coding. In this Python 3 course, follow Kathryn Hodge as she walks through the Python standard library. Discover how familiarizing yourself with its facilities can make writing code in this concise, elegant language a little easier. Familiarize yourself with the library's built-in functions, math modules, and input and output modules. Learn how to get information from the Internet with the HTTP module, and more.",Course,2020-02-09 04:22 UTC,N/A,false,N/A,
Fred Kofman on Managing Conflict,"Do you dread difficult conversations? Avoiding conflict doesn't save relationships. Managing conflict makes them stronger. Learn the tools that turn conflicts into positive outcomes in this workshop-style course with philosopher of leadership and LinkedIn Influencer Fred Kofman. He takes a real-life story of conflict and shows how careful listening, negotiation, and commitment can turn opponents into allies and create a renewed shared purpose.<br><br>

This course is the first in a series with LinkedIn Influencers, a select group of highly influential entrepreneurs, creative thinkers, global leaders, and policy makers chosen to share their thoughts with LinkedIn members. Keep the conversation going. Share these ideas with your own friends and followers.",Course,2019-09-20 08:40 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2020-10-28 13:14 UTC,N/A,false,N/A,
R for Data Science: Lunchbreak Lessons,"Programming is learned in small bits. You build on basic concepts. You transfer the knowledge you already have to the next language. <i>Lunch Break Lessons</i> teaches R—one of the most popular programming languages for data analysis and reporting—in short lessons that expand on what existing programmers already know.<br><br>

The five minutes you spend each week will provide you with a building block you can use in the next two hours at work. Review language basics, discover methods to improve existing R code, explore new and interesting features, and learn about useful development tools and libraries that will make your time programming with R that much more productive.<br><br>

All series code samples can be downloaded at <a href=""https://github.com/mnr/five-minutes-of-R"" target=""_blank"">https://github.com/mnr/five-minutes-of-R</a>.</br></br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2018-10-09 10:35 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-09-29 05:09 UTC,N/A,false,N/A,
Kafka Essential Training,"Developed at LinkedIn, Apache Kafka is a distributed streaming platform that provides scalable, high-throughput messaging systems in place of traditional messaging systems like JMS. In this course, examine all the core concepts of Kafka. Ben Sullins kicks off the course by making the case for Kafka, and explaining who's using this efficient platform and why. He then shares Kafka workflows to provide context for core concepts, explains how to install and test Kafka locally, and dives into real-world examples. By the end of this course, you'll be prepared to achieve scalability, fault tolerance, and durability with Apache Kafka.",Course,2018-12-09 03:59 UTC,N/A,false,N/A,
Learning Linux Command Line,"Knowledge of the Linux command line is critical for anyone who uses this open-source operating system. For many tasks, it's more efficient and flexible than a graphical environment. For administrators, it plays a vital role in configuring permissions and working with files. In this course, experienced instructor Scott Simpson discusses the basics of working with the Linux command line using the Bash shell, focusing on practical Linux commands with examples that help you navigate through the file and folder structure, edit text, and set permissions. Scott also discusses some of the common command-line tools, such as grep, awk, and sed, and command-line apps such as the nano and Vim text editors. The course wraps up with a look at how to install and update software with a package manager.",Course,2018-12-18 13:49 UTC,N/A,false,N/A,
Healthcare Analytics: Regression in R,"Linear and logistic regression models can be created using R, the open-source statistical computing software. In this course, biotech expert and epidemiologist Monika Wahi uses the publicly available Behavioral Risk Factor Surveillance Survey (BRFSS) dataset to show you how to perform a forward stepwise modeling process. Monika shows you how to design your research by considering scientific plausibility selecting a hypothesis. Then, she takes you through the steps of preparing, developing, and finalizing both a linear regression model and a logistic regression model. She also shares techniques for how to interpret diagnostic plots, improve model fit, compare models, and more.",Course,2018-10-11 06:06 UTC,N/A,false,N/A,
Internet of Things with Python and Raspberry Pi,"Raspberry Pi development comes in many flavors, but Python is common and powerful. In this project-based course, learn how to work with this highly readable language—along with a Raspberry Pi board—to build a secure ecosystem of interconnected IoT devices. Instructor Anum Sheraz begins by reviewing the basics of IoT smart devices, as well as several important IoT communication models. Next, Anum steps through how to create the first course project: an anti-theft motion detector. He then dives into several other projects that build upon this first one, including how to enable real-time bidirectional communication using PubNub, create and secure your own custom domain name, and build an atmosphere monitoring system that can alert and detect ambient atmospheric conditions.<br/><br/>Note: This course was created and produced by Packt Publishing.",Course,2019-06-11 00:57 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807061,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807061,Course,2019-12-02 11:26 UTC,N/A,false,N/A,
Python for Data Science Essential Training,"By using Python to glean value from your raw data, you can simplify the often complex journey from data to value. In this practical, hands-on course, learn how to use Python for data preparation, data munging, data visualization, and predictive analytics. Instructor Lillian Pierson, P.E. covers the essential Python methods for preparing, cleaning, reformatting, and visualizing your data for use in analytics and data science. She helps to provide you with a working understanding of machine learning, as well as outlier analysis, cluster analysis, and network analysis. Plus, Lillian explains how to create web-based data visualizations with Plot.ly, and how to use Python to scrape the web and capture your own data sets.",Course,2018-06-01 18:00 UTC,N/A,false,N/A,
Learning QlikView,"<em>Up and Running with QlikView</em> shows how to analyze and display data using QlikView, the business intelligence and data visualization software that helps organizations make good decisions with their data. Author Curt Frye covers creating new visualizations from an existing data source, adding sheet objects and changing their properties, and printing and exporting sheet contents. After completing the course, viewers will be able to install QlikView 11, import and summarize data, create and manipulate data visualizations, and create pivot tables to display data in different ways—without multiple sheets.",Course,2018-10-02 06:36 UTC,N/A,false,N/A,
OpenCV for Python Developers,"OpenCV is an open-source toolkit for advanced computer vision. It is one of the most popular tools for facial recognition, used in a wide variety of security, marketing, and photography applications, and it powers a lot of cutting-edge tech, including augmented reality and robotics. This course offers Python developers a detailed introduction to OpenCV 3, starting with installing and configuring your Mac, Windows, or Linux development environment along with Python 3. Learn about the data and image types unique to OpenCV, and find out how to manipulate pixels and images. Instructor Patrick W. Crawford also shows how to read video streams as inputs, and create custom real-time video interfaces. Then comes the real power of OpenCV: object, facial, and feature detection. Learn how to leverage the image-processing power of OpenCV using methods like template matching and machine learning data to identify and recognize features.",Course,2018-09-21 16:20 UTC,N/A,false,N/A,
